0,HPC 9YLD,Kia Sportage,2015,5
1,HPZ RER5,Fiat Tipo,2013,5
2,HPS 85G4,Kia Cee'd,2012,5
3,HPZ I40C,Hyundai I20,2014,5
4,HP MUOB9,Hyundai I20,2014,5
5,HPS K3T2,Kia Optima,2016,5
6,HP UEVKV,Fiat Albea,2011,5
7,HPC UOQ7,Opel Corsa,2009,5
8,HPC ZHR8,Fiat Stillo,2017,5
9,HPU AN2M,Kia Sportage,2016,5
10,HPC L3Y3,Hyundai I20,2019,5
11,HPS F8BK,Opel Astra,2014,5
12,HPC 7J6E,Kia Optima,2017,5
13,HPZ TC5W,Hyundai Elantra,2012,5
14,HP 1TYHM,Opel Astra,2014,5
15,HPC YRXW,Fiat Bravo,2010,5
16,HP OMMNU,Opel Astra,2005,5
17,HPS HW3R,Kia Cee'd,2006,5
18,HPU S8MB,Fiat Albea,2006,5
19,HP PBDAJ,Opel Astra,2016,5
20,HPU SD7F,Kia Sportage,2005,5
21,HPZ FLRV,Kia Cee'd,2015,5
22,HPZ H5W1,Kia Cee'd,2008,5
23,HPS 0SRC,Kia Optima,2006,5
24,HPZ 3W8M,Opel Astra,2010,5
25,HPU 50IV,Fiat Albea,2016,5
26,HPZ JMQF,Opel Astra,2018,5
27,HPS 41LY,Hyundai Tuscon,2013,5
28,HP 3B7R5,Opel Astra,2008,5
29,HPC L9SI,Kia Sportage,2009,5
30,HPU OQNK,Fiat Bravo,2013,5
31,HPC 8IUX,Opel Astra,2019,5
32,HPZ NCZ6,Hyundai I30,2018,5
33,HP A0GDG,Fiat Stillo,2018,5
34,HP W5BUY,Opel Astra,2018,5
35,HPU VI3A,Hyundai I30,2018,5
36,HPU ZJV8,Hyundai Tuscon,2014,5
37,HPU LJNW,Kia Sportage,2009,5
38,HPU OIA2,Opel Corsa,2009,5
39,HPS 28J8,Kia Sportage,2015,5
40,HPU ISYX,Kia Cee'd,2009,5
41,HPZ 2U1M,Kia Sportage,2005,5
42,HP GDTL2,Hyundai I20,2008,5
43,HPC HU39,Fiat Tipo,2009,5
44,HPU I3HE,Hyundai Tuscon,2007,5
45,HPS HS2E,Kia Sportage,2019,5
46,HPS YRZ2,Kia Sportage,2005,5
47,HPS PXOM,Hyundai I30,2014,5
48,HP 1ZGK3,Opel Insignia,2011,5
49,HP YILNK,Fiat Bravo,2017,5
50,HPZ NKIN,Kia Cee'd,2005,5
51,HPC M6MC,Opel Insignia,2009,5
52,HPS UQTU,Opel Corsa,2012,5
53,HP ZV9RJ,Hyundai Elantra,2015,5
54,HPU VEV1,Hyundai Elantra,2007,5
55,HPU 26MG,Opel Astra,2008,5
56,HPS LUYZ,Fiat Stillo,2014,5
57,HPU IR6Z,Hyundai I30,2015,5
58,HPZ FC3B,Kia Optima,2012,5
59,HPZ XK73,Opel Corsa,2016,5
